"ID","OBJECTID","Value","Count","WHRALL","LIFE_FORM","WHRNUM","WHRNAME","WHRTYPE","WHRSIZE","WHRDENSITY","WHR10NUM","WHR10NAME","WHR13NUM","WHR13NAME","SOURCE_NAME","SOURCE_YEAR"
1704,1705,1705,147806,"WFR4M","CONIFER",58,"White Fir","WFR","4","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthInterior",2009
1705,1706,1706,624,"COW2D","HARDWOOD",10,"Coastal Oak Woodland","COW","2","D",50,"Hardwood",52,"Hardwood Woodland","CALVEG-NorthCoastNW",2007
1706,1707,1707,113945,"WFR4D","CONIFER",58,"White Fir","WFR","4","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthInterior",2009
1707,1708,1708,172826,"SMC5D","CONIFER",51,"Sierran Mixed Conifer","SMC","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthInterior",2009
1708,1709,1709,8098,"WFR3M","CONIFER",58,"White Fir","WFR","3","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthInterior",2009
1709,1710,1710,767,"JPN3S","CONIFER",24,"Jeffrey Pine","JPN","3","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthInterior",2004
1710,1711,1711,813,"MHW5D","HARDWOOD",36,"Montane Hardwood","MHW","5","D",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",2003
1711,1712,1712,57,"MHC4P","CONIFER",35,"Montane Hardwood-Conifer","MHC","4","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2003
1712,1713,1713,160,"MHW4M","HARDWOOD",36,"Montane Hardwood","MHW","4","M",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",2003
1713,1714,1714,16,"MHC4S","CONIFER",35,"Montane Hardwood-Conifer","MHC","4","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",1994
1714,1715,1715,8,"MRI3S","HARDWOOD",37,"Montane Riparian","MRI","3","S",50,"Hardwood",51,"Hardwood Forest","CALVEG-GreatBasin",2004
1715,1716,1716,5,"JPN5D","CONIFER",24,"Jeffrey Pine","JPN","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2003
1716,1717,1717,12,"WTMXX","HERBACEOUS",59,"Wet Meadow","WTM","X","X",100,"Wetland",100,"Wetland","CALVEG-NorthCoastNE/CALFIRE update",2007
1717,1718,1718,3836,"MHC3D","CONIFER",35,"Montane Hardwood-Conifer","MHC","3","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2003
1718,1719,1719,17,"MRI2S","HARDWOOD",37,"Montane Riparian","MRI","2","S",50,"Hardwood",51,"Hardwood Forest","CALVEG-GreatBasin",2004
1719,1720,1720,143,"KMC5P","CONIFER",27,"Klamath Mixed Conifer","KMC","5","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",1994
1720,1721,1721,31,"PPN5P","CONIFER",42,"Ponderosa Pine","PPN","5","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",1994
1721,1722,1722,11381,"MHW4S","HARDWOOD",36,"Montane Hardwood","MHW","4","S",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthInterior",2009
1722,1723,1723,796,"URBXX","URBAN",53,"Urban","URB","X","X",80,"Urban",80,"Urban","CALVEG-NorthCoastNE",1998
1723,1724,1724,82,"MHW3S","HARDWOOD",36,"Montane Hardwood","MHW","3","S",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",1994
1724,1725,1725,1289,"CPC2M","CONIFER",11,"Closed-Cone Pine-Cypress","CPC","2","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
1725,1726,1726,37698,"WFR5M","CONIFER",58,"White Fir","WFR","5","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthInterior",2009
1726,1727,1727,918,"PPN5S","CONIFER",42,"Ponderosa Pine","PPN","5","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthInterior",2009
1727,1728,1728,70082,"PPN4D","CONIFER",42,"Ponderosa Pine","PPN","4","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthInterior",2009
1728,1729,1729,271,"MHW3P","HARDWOOD",36,"Montane Hardwood","MHW","3","P",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",1994
1729,1730,1730,3619,"PPN3D","CONIFER",42,"Ponderosa Pine","PPN","3","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthInterior",2009
1730,1731,1731,52,"CPC2M","CONIFER",11,"Closed-Cone Pine-Cypress","CPC","2","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthInterior",2007
1731,1732,1732,6386,"PPN5M","CONIFER",42,"Ponderosa Pine","PPN","5","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthInterior",2009
1732,1733,1733,20390,"WFR5D","CONIFER",58,"White Fir","WFR","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthInterior",2009
1733,1734,1734,962,"VRI3D","HARDWOOD",56,"Valley Foothill Riparian","VRI","3","D",50,"Hardwood",52,"Hardwood Woodland","CALVEG-NorthCoastNE",1994
1734,1735,1735,133,"VRI3M","HARDWOOD",56,"Valley Foothill Riparian","VRI","3","M",50,"Hardwood",52,"Hardwood Woodland","CALVEG-NorthCoastNE",1994
1735,1736,1736,45741,"AGSXX","HERBACEOUS",3,"Annual Grassland","AGS","X","X",60,"Herbaceous",60,"Herbaceous","CALVEG-NorthInterior",2009
1736,1737,1737,19,"ASP4S","HARDWOOD",5,"Aspen","ASP","4","S",50,"Hardwood",51,"Hardwood Forest","CALVEG-GreatBasin",2004
1737,1738,1738,124986,"DFR5D","CONIFER",14,"Douglas Fir","DFR","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",1994
1738,1739,1739,20,"MHC3S","CONIFER",35,"Montane Hardwood-Conifer","MHC","3","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2003
1739,1740,1740,31,"DFR5P","CONIFER",14,"Douglas Fir","DFR","5","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",1994
1740,1741,1741,1374,"PPN4D","CONIFER",42,"Ponderosa Pine","PPN","4","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",1994
1741,1742,1742,15037,"PPN5D","CONIFER",42,"Ponderosa Pine","PPN","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",1994
1742,1743,1743,43,"KMC3S","CONIFER",27,"Klamath Mixed Conifer","KMC","3","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",1994
1743,1744,1744,15340,"MHW4P","HARDWOOD",36,"Montane Hardwood","MHW","4","P",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthInterior",2009
1744,1745,1745,167,"DFR3M","CONIFER",14,"Douglas Fir","DFR","3","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2003
1745,1746,1746,107271,"WTMXX","HERBACEOUS",59,"Wet Meadow","WTM","X","X",100,"Wetland",100,"Wetland","CALVEG-NorthInterior",2009
1746,1747,1747,86,"PPN4M","CONIFER",42,"Ponderosa Pine","PPN","4","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",1994
1747,1748,1748,2492,"KMC2D","CONIFER",27,"Klamath Mixed Conifer","KMC","2","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",1994
1748,1749,1749,305,"PPN4M","CONIFER",42,"Ponderosa Pine","PPN","4","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2003
1749,1750,1750,208,"MHC5M","CONIFER",35,"Montane Hardwood-Conifer","MHC","5","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2003
1750,1751,1751,1920,"MRI2M","HARDWOOD",37,"Montane Riparian","MRI","2","M",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthInterior",1999
1751,1752,1752,24,"KMC5S","CONIFER",27,"Klamath Mixed Conifer","KMC","5","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",1994
1752,1753,1753,190,"PPN3D","CONIFER",42,"Ponderosa Pine","PPN","3","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",1994
1753,1754,1754,72,"MHC2M","CONIFER",35,"Montane Hardwood-Conifer","MHC","2","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2003
1754,1755,1755,2663,"PPN4D","CONIFER",42,"Ponderosa Pine","PPN","4","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2003
1755,1756,1756,3146,"DFR3D","CONIFER",14,"Douglas Fir","DFR","3","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",1994
1756,1757,1757,4984,"BOP3P","HARDWOOD",8,"Blue Oak-Foothill Pine","BOP","3","P",50,"Hardwood",52,"Hardwood Woodland","CALVEG-NorthCoastNE",2007
1757,1758,1758,7,"DORXX","AGRICULTURE",67,"Deciduous Orchard","DOR","X","X",10,"Agriculture",10,"Agriculture","CALVEG-NorthCoastNE",2003
1758,1759,1759,1611,"EPN2P","CONIFER",20,"Eastside Pine","EPN","2","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthInterior",2009
1759,1760,1760,18274,"COW4M","HARDWOOD",10,"Coastal Oak Woodland","COW","4","M",50,"Hardwood",52,"Hardwood Woodland","CALVEG-NorthCoastS",2007
1760,1761,1761,34,"MHC2P","CONIFER",35,"Montane Hardwood-Conifer","MHC","2","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2003
1761,1762,1762,155,"MHW2M","HARDWOOD",36,"Montane Hardwood","MHW","2","M",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",2003
1762,1763,1763,83,"KMC3S","CONIFER",27,"Klamath Mixed Conifer","KMC","3","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2003
1763,1764,1764,58,"PPN3P","CONIFER",42,"Ponderosa Pine","PPN","3","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2005
1764,1765,1765,219,"PPN4D","CONIFER",42,"Ponderosa Pine","PPN","4","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2005
1765,1766,1766,10932,"PPN5D","CONIFER",42,"Ponderosa Pine","PPN","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthInterior",2009
1766,1767,1767,60105,"MCHXX","SHRUB",32,"Mixed Chaparral","MCH","X","X",70,"Shrub",70,"Shrub","CALVEG-NorthInterior",2009
1767,1768,1768,9311,"MHW5S","HARDWOOD",36,"Montane Hardwood","MHW","5","S",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastS",2007
1768,1769,1769,10,"CPC3D","CONIFER",11,"Closed-Cone Pine-Cypress","CPC","3","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2003
1769,1770,1770,8,"EPN3D","CONIFER",20,"Eastside Pine","EPN","3","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",1994
1770,1771,1771,28,"PPN3D","CONIFER",42,"Ponderosa Pine","PPN","3","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2005
1771,1772,1772,15694,"DFR4D","CONIFER",14,"Douglas Fir","DFR","4","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",1994
1772,1773,1773,313,"EPN5M","CONIFER",20,"Eastside Pine","EPN","5","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthInterior",2009
1773,1774,1774,5239,"MHW2P","HARDWOOD",36,"Montane Hardwood","MHW","2","P",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthInterior",2009
1774,1775,1775,16551,"MHW3M","HARDWOOD",36,"Montane Hardwood","MHW","3","M",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthInterior",2009
1775,1776,1776,196,"MHW3M","HARDWOOD",36,"Montane Hardwood","MHW","3","M",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",2003
1776,1777,1777,46,"MHW5D","HARDWOOD",36,"Montane Hardwood","MHW","5","D",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",1998
1777,1778,1778,10053,"MHW4D","HARDWOOD",36,"Montane Hardwood","MHW","4","D",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",1998
1778,1779,1779,3893,"MHW2M","HARDWOOD",36,"Montane Hardwood","MHW","2","M",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthInterior",2009
1779,1780,1780,8677,"DFR4D","CONIFER",14,"Douglas Fir","DFR","4","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2003
1780,1781,1781,19034,"MHC4M","CONIFER",35,"Montane Hardwood-Conifer","MHC","4","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthInterior",2009
1781,1782,1782,1077,"MHW2S","HARDWOOD",36,"Montane Hardwood","MHW","2","S",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthInterior",2009
1782,1783,1783,26936,"MHW3P","HARDWOOD",36,"Montane Hardwood","MHW","3","P",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthInterior",2009
1783,1784,1784,4312,"DFR5D","CONIFER",14,"Douglas Fir","DFR","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",1998
1784,1785,1785,2743,"MHC3P","CONIFER",35,"Montane Hardwood-Conifer","MHC","3","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthInterior",2009
1785,1786,1786,144,"CPC5S","CONIFER",11,"Closed-Cone Pine-Cypress","CPC","5","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNW",2007
1786,1787,1787,579,"MHW2M","HARDWOOD",36,"Montane Hardwood","MHW","2","M",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",1998
1787,1788,1788,654,"URBXX","URBAN",53,"Urban","URB","X","X",80,"Urban",80,"Urban","CALVEG-NorthCoastNE",1994
1788,1789,1789,349,"MHW2D","HARDWOOD",36,"Montane Hardwood","MHW","2","D",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",2003
1789,1790,1790,1790,"MHW2D","HARDWOOD",36,"Montane Hardwood","MHW","2","D",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",1998
1790,1791,1791,10,"MHC3S","CONIFER",35,"Montane Hardwood-Conifer","MHC","3","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",1994
1791,1792,1792,469,"MHW4M","HARDWOOD",36,"Montane Hardwood","MHW","4","M",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",1998
1792,1793,1793,2636,"MHW5D","HARDWOOD",36,"Montane Hardwood","MHW","5","D",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",1994
1793,1794,1794,11,"MRI5D","HARDWOOD",37,"Montane Riparian","MRI","5","D",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthInterior",2007
1794,1795,1795,4882,"COW3S","HARDWOOD",10,"Coastal Oak Woodland","COW","3","S",50,"Hardwood",52,"Hardwood Woodland","CALVEG-NorthCoastS",2007
1795,1796,1796,6,"MHC4S","CONIFER",35,"Montane Hardwood-Conifer","MHC","4","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthInterior",2004
1796,1797,1797,44936,"BOP4D","HARDWOOD",8,"Blue Oak-Foothill Pine","BOP","4","D",50,"Hardwood",52,"Hardwood Woodland","CALVEG-NorthCoastNE",2007
1797,1798,1798,585,"DFR4M","CONIFER",14,"Douglas Fir","DFR","4","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",1994
1798,1799,1799,103,"KMC2P","CONIFER",27,"Klamath Mixed Conifer","KMC","2","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",1994
1799,1800,1800,13125,"MHW4M","HARDWOOD",36,"Montane Hardwood","MHW","4","M",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthInterior",2009
1800,1801,1801,17,"DFR4S","CONIFER",14,"Douglas Fir","DFR","4","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",1994
1801,1802,1802,805,"MRI1D","HARDWOOD",37,"Montane Riparian","MRI","1","D",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastS",2007
1802,1803,1803,34,"MHW5M","HARDWOOD",36,"Montane Hardwood","MHW","5","M",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNW/CALFIRE update",2007
1803,1804,1804,30,"MHW5D","HARDWOOD",36,"Montane Hardwood","MHW","5","D",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNW/CALFIRE update",2007
1804,1805,1805,94288,"MHW4S","HARDWOOD",36,"Montane Hardwood","MHW","4","S",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastS",2007
1805,1806,1806,2512,"MHC3D","CONIFER",35,"Montane Hardwood-Conifer","MHC","3","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",1998
1806,1807,1807,2627,"BOP2M","HARDWOOD",8,"Blue Oak-Foothill Pine","BOP","2","M",50,"Hardwood",52,"Hardwood Woodland","CALVEG-NorthCoastNE",2007
1807,1808,1808,52,"WFR5D","CONIFER",58,"White Fir","WFR","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-GreatBasin",2004
1808,1809,1809,7,"SCN3D","CONIFER",48,"Subalpine Conifer","SCN","3","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthInterior",2004
1809,1810,1810,1053,"DFR3D","CONIFER",14,"Douglas Fir","DFR","3","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2003
1810,1811,1811,91,"DFR4P","CONIFER",14,"Douglas Fir","DFR","4","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",1994
1811,1812,1812,75761,"MHW3S","HARDWOOD",36,"Montane Hardwood","MHW","3","S",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastS",2007
1812,1813,1813,13081,"BOP3M","HARDWOOD",8,"Blue Oak-Foothill Pine","BOP","3","M",50,"Hardwood",52,"Hardwood Woodland","CALVEG-NorthCoastNE",2007
1813,1814,1814,203,"WFR4D","CONIFER",58,"White Fir","WFR","4","D",30,"Conifer",31,"Conifer Forest","CALVEG-GreatBasin",2004
1814,1815,1815,35,"CPC2S","CONIFER",11,"Closed-Cone Pine-Cypress","CPC","2","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthInterior",2007
1815,1816,1816,17,"WFR3S","CONIFER",58,"White Fir","WFR","3","S",30,"Conifer",31,"Conifer Forest","CALVEG-GreatBasin",2004
1816,1817,1817,4,"COW4P","HARDWOOD",10,"Coastal Oak Woodland","COW","4","P",50,"Hardwood",52,"Hardwood Woodland","CALVEG-NorthCoastNW/CALFIRE update",2007
1817,1818,1818,22358,"DFR4D","CONIFER",14,"Douglas Fir","DFR","4","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",1998
1818,1819,1819,5120,"BOP4P","HARDWOOD",8,"Blue Oak-Foothill Pine","BOP","4","P",50,"Hardwood",52,"Hardwood Woodland","CALVEG-NorthCoastNE",2007
1819,1820,1820,5,"MHC5S","CONIFER",35,"Montane Hardwood-Conifer","MHC","5","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2003
1820,1821,1821,6093,"MHW3D","HARDWOOD",36,"Montane Hardwood","MHW","3","D",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthInterior",2009
1821,1822,1822,4419,"DFR3D","CONIFER",14,"Douglas Fir","DFR","3","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",1998
1822,1823,1823,79,"DFR3M","CONIFER",14,"Douglas Fir","DFR","3","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",1994
1823,1824,1824,415,"MRI3D","HARDWOOD",37,"Montane Riparian","MRI","3","D",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",2003
1824,1825,1825,35662,"MHW4D","HARDWOOD",36,"Montane Hardwood","MHW","4","D",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthInterior",2009
1825,1826,1826,651,"JUN4P","CONIFER",26,"Juniper","JUN","4","P",30,"Conifer",32,"Conifer Woodland","CALVEG-NorthInterior",2009
1826,1827,1827,1704,"DFR4M","CONIFER",14,"Douglas Fir","DFR","4","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",1998
1827,1828,1828,63,"MHC5P","CONIFER",35,"Montane Hardwood-Conifer","MHC","5","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",1994
1828,1829,1829,26,"WFR3M","CONIFER",58,"White Fir","WFR","3","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
1829,1830,1830,9,"WFR3D","CONIFER",58,"White Fir","WFR","3","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
1830,1831,1831,15,"WFR5D","CONIFER",58,"White Fir","WFR","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
1831,1832,1832,17,"FEWXX","HERBACEOUS",22,"Fresh Emergent Wetland","FEW","X","X",100,"Wetland",100,"Wetland","CALVEG-NorthCoastNE",2007
1832,1833,1833,1,"DFR2M","CONIFER",14,"Douglas Fir","DFR","2","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2003
1833,1834,1834,80935,"LSGXX","SHRUB",30,"Low Sage","LSG","X","X",70,"Shrub",70,"Shrub","CALVEG-GreatBasin",1999
1834,1835,1835,360,"DFR4M","CONIFER",14,"Douglas Fir","DFR","4","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2003
1835,1836,1836,1779,"BOP4S","HARDWOOD",8,"Blue Oak-Foothill Pine","BOP","4","S",50,"Hardwood",52,"Hardwood Woodland","CALVEG-NorthCoastNE",2007
1836,1837,1837,146,"DFR3P","CONIFER",14,"Douglas Fir","DFR","3","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2003
1837,1838,1838,3,"LPN5M","CONIFER",29,"Lodgepole Pine","LPN","5","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
1838,1839,1839,10,"LPN5D","CONIFER",29,"Lodgepole Pine","LPN","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
1839,1840,1840,229,"COW1D","HARDWOOD",10,"Coastal Oak Woodland","COW","1","D",50,"Hardwood",52,"Hardwood Woodland","CALVEG-NorthCoastNW",2007
1840,1841,1841,2474,"MRI3P","HARDWOOD",37,"Montane Riparian","MRI","3","P",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastS",2007
1841,1842,1842,21567,"MHC4S","CONIFER",35,"Montane Hardwood-Conifer","MHC","4","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthInterior",2009
1842,1843,1843,2191,"MHC2S","CONIFER",35,"Montane Hardwood-Conifer","MHC","2","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthInterior",2009
1843,1844,1844,1151,"PPN5D","CONIFER",42,"Ponderosa Pine","PPN","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2003
1844,1845,1845,569,"CPC4S","CONIFER",11,"Closed-Cone Pine-Cypress","CPC","4","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
1845,1846,1846,59,"ASP1P","HARDWOOD",5,"Aspen","ASP","1","P",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthInterior",2004
1846,1847,1847,356,"KMC3P","CONIFER",27,"Klamath Mixed Conifer","KMC","3","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",1998
1847,1848,1848,194,"MHC3M","CONIFER",35,"Montane Hardwood-Conifer","MHC","3","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",1994
1848,1849,1849,936,"KMC3S","CONIFER",27,"Klamath Mixed Conifer","KMC","3","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",1998
1849,1850,1850,9872,"JPN3S","CONIFER",24,"Jeffrey Pine","JPN","3","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthInterior",2009
1850,1851,1851,444,"COW2P","HARDWOOD",10,"Coastal Oak Woodland","COW","2","P",50,"Hardwood",52,"Hardwood Woodland","CALVEG-NorthCoastS",2007
1851,1852,1852,51,"MHW1P","HARDWOOD",36,"Montane Hardwood","MHW","1","P",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthInterior",2007
1852,1853,1853,7,"DFR1P","CONIFER",14,"Douglas Fir","DFR","1","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
1853,1854,1854,199,"VRI3D","HARDWOOD",56,"Valley Foothill Riparian","VRI","3","D",50,"Hardwood",52,"Hardwood Woodland","CALVEG-NorthCoastNE",2003
1854,1855,1855,28,"MHW1S","HARDWOOD",36,"Montane Hardwood","MHW","1","S",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthInterior",2007
1855,1856,1856,57,"URB5D","URBAN",53,"Urban","URB","5","D",80,"Urban",80,"Urban","CALVEG-NorthInterior",2009
1856,1857,1857,88,"WFR4M","CONIFER",58,"White Fir","WFR","4","M",30,"Conifer",31,"Conifer Forest","CALVEG-GreatBasin",2004
1857,1858,1858,268,"MHW1M","HARDWOOD",36,"Montane Hardwood","MHW","1","M",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthInterior",2007
1858,1859,1859,16754,"BOP4P","HARDWOOD",8,"Blue Oak-Foothill Pine","BOP","4","P",50,"Hardwood",52,"Hardwood Woodland","CALVEG-NorthCoastS",2007
1859,1860,1860,7692,"BOP3S","HARDWOOD",8,"Blue Oak-Foothill Pine","BOP","3","S",50,"Hardwood",52,"Hardwood Woodland","CALVEG-NorthInterior",2009
1860,1861,1861,13594,"BOP3P","HARDWOOD",8,"Blue Oak-Foothill Pine","BOP","3","P",50,"Hardwood",52,"Hardwood Woodland","CALVEG-NorthCoastS",2007
1861,1862,1862,975,"BOP3P","HARDWOOD",8,"Blue Oak-Foothill Pine","BOP","3","P",50,"Hardwood",52,"Hardwood Woodland","CALVEG-NorthCoastNW",2007
1862,1863,1863,86,"SMC4D","CONIFER",51,"Sierran Mixed Conifer","SMC","4","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",1998
1863,1864,1864,8240,"COW4P","HARDWOOD",10,"Coastal Oak Woodland","COW","4","P",50,"Hardwood",52,"Hardwood Woodland","CALVEG-NorthCoastS",2007
1864,1865,1865,7,"MHC5P","CONIFER",35,"Montane Hardwood-Conifer","MHC","5","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2003
1865,1866,1866,1188,"MCHXX","SHRUB",32,"Mixed Chaparral","MCH","X","X",70,"Shrub",70,"Shrub","CALVEG-NorthCoastNE",2003
1866,1867,1867,2323,"BOP4P","HARDWOOD",8,"Blue Oak-Foothill Pine","BOP","4","P",50,"Hardwood",52,"Hardwood Woodland","CALVEG-NorthInterior",2009
